name,label,type_data,type_level
participant_id,Participant ID,text,nominal
session_id,Session ID,character,nominal
dt,Date of notification event,date,interval
dt_day,Day of the week for date of notification event,character,ordinal
dt_wknd,Whether date of notification event was on a weekend day (Sat/Sun) or not,logical,nominal
dtt,Date/time when notification event occurred,timestamp,interval
category,Google Play Store application category,character,nominal
app,Application ID,text,nominal
ver_api,Android API version used to retrieve data,character,nominal
event,Notification event ID,character,nominal
